Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2018,7,Chiapas,20,Comitán,99,La Trinitaria,1,Abeja,7,Miel,149.1,0,35.5,5293,0
2018,7,Chiapas,20,Comitán,52,Las Margaritas,1,Abeja,2,Cera,6.51,0,55.58,361.83,0
2018,7,Chiapas,20,Comitán,52,Las Margaritas,1,Abeja,7,Miel,129.2,0,35.35,4567,0
2018,7,Chiapas,20,Comitán,83,Socoltenango,1,Abeja,2,Cera,2.23,0,81.77,182.347,0
2018,7,Chiapas,20,Comitán,83,Socoltenango,1,Abeja,7,Miel,28.8,0,35.82,1031.7,0
2018,7,Chiapas,20,Comitán,104,Tzimol,1,Abeja,2,Cera,2.45,0,56.03,137.27,0
2018,7,Chiapas,20,Comitán,104,Tzimol,1,Abeja,7,Miel,26.85,0,35.83,961.95,0
2018,7,Chiapas,24,Motozintla,6,Amatenango de La Frontera,1,Abeja,2,Cera,8.402,0,32.28,271.217,0
2018,7,Chiapas,24,Motozintla,6,Amatenango de La Frontera,1,Abeja,7,Miel,274.345,0,44.99,12342.209,0
2018,7,Chiapas,24,Motozintla,11,Bella Vista,1,Abeja,2,Cera,3.39,0,25.3,85.767,0
2018,7,Chiapas,24,Motozintla,11,Bella Vista,1,Abeja,7,Miel,95.095,0,45.03,4281.935,0
2018,7,Chiapas,24,Motozintla,53,Mazapa de Madero,1,Abeja,2,Cera,11.233,0,39.71,446.062,0
2018,7,Chiapas,24,Motozintla,53,Mazapa de Madero,1,Abeja,7,Miel,363.199,0,44.96,16329.522,0
2018,7,Chiapas,24,Motozintla,57,Motozintla,1,Abeja,2,Cera,12.312,0,41.74,513.903,0
2018,7,Chiapas,24,Motozintla,57,Motozintla,1,Abeja,7,Miel,429.301,0,44.68,19179.835,0
2018,7,Chiapas,24,Motozintla,80,Siltepec,1,Abeja,2,Cera,3.733,0,28.64,106.913,0
2018,7,Chiapas,24,Motozintla,80,Siltepec,1,Abeja,7,Miel,114.868,0,44.99,5168.182,0
2018,7,Chiapas,23,Palenque,31,Chilón,1,Abeja,2,Cera,1.98,0,65,128.7,0
2018,7,Chiapas,23,Palenque,31,Chilón,1,Abeja,7,Miel,78,0,41.47,3235,0
2018,7,Chiapas,23,Palenque,59,Ocosingo,1,Abeja,2,Cera,3.979,0,74.87,297.908,0
2018,7,Chiapas,23,Palenque,59,Ocosingo,1,Abeja,7,Miel,145.4,0,43.66,6348.4,0
2018,7,Chiapas,23,Palenque,65,Palenque,1,Abeja,2,Cera,0.253,0,38.16,9.654,0
2018,7,Chiapas,23,Palenque,65,Palenque,1,Abeja,7,Miel,6.8,0,38.35,260.8,0
2018,7,Chiapas,23,Palenque,76,Sabanilla,1,Abeja,2,Cera,0.75,0,65,48.75,0
2018,7,Chiapas,23,Palenque,76,Sabanilla,1,Abeja,7,Miel,30,0,41.47,1244,0
2018,7,Chiapas,23,Palenque,77,Salto de Agua,1,Abeja,2,Cera,1.48,0,62.97,93.2,0
2018,7,Chiapas,23,Palenque,77,Salto de Agua,1,Abeja,7,Miel,61,0,38.82,2368,0
2018,7,Chiapas,23,Palenque,82,Sitalá,1,Abeja,2,Cera,1.21,0,43.51,52.647,0
2018,7,Chiapas,23,Palenque,82,Sitalá,1,Abeja,7,Miel,46,0,41.48,1908,0
2018,7,Chiapas,23,Palenque,96,Tila,1,Abeja,2,Cera,22,0,99.27,2183.94,0
2018,7,Chiapas,23,Palenque,96,Tila,1,Abeja,7,Miel,311,0,41.45,12892,0
2018,7,Chiapas,23,Palenque,100,Tumbalá,1,Abeja,2,Cera,6.1,0,60,366,0
2018,7,Chiapas,23,Palenque,100,Tumbalá,1,Abeja,7,Miel,178.3,0,41.5,7400.3,0
2018,7,Chiapas,23,Palenque,109,Yajalón,1,Abeja,2,Cera,1.99,0,29.85,59.402,0
2018,7,Chiapas,23,Palenque,109,Yajalón,1,Abeja,7,Miel,53.02,0,40.91,2168.84,0
2018,7,Chiapas,22,Pichucalco,14,El Bosque,1,Abeja,7,Miel,94.81,0,40.55,3844.7,0
2018,7,Chiapas,22,Pichucalco,39,Huitiupán,1,Abeja,7,Miel,47.3,0,40.71,1925.62,0
2018,7,Chiapas,22,Pichucalco,42,Ixhuatán,1,Abeja,7,Miel,0.61,0,39.84,24.3,0
2018,7,Chiapas,22,Pichucalco,47,Jitotol,1,Abeja,7,Miel,30.9,0,40.32,1245.9,0
2018,7,Chiapas,22,Pichucalco,67,Pantepec,1,Abeja,7,Miel,0.53,0,39.55,20.96,0
2018,7,Chiapas,22,Pichucalco,72,Pueblo Nuevo Solistahuacán,1,Abeja,7,Miel,15,0,40.27,604.1,0
2018,7,Chiapas,22,Pichucalco,118,San Andrés Duraznal,1,Abeja,7,Miel,15.64,0,40.78,637.8,0
2018,7,Chiapas,22,Pichucalco,81,Simojovel,1,Abeja,7,Miel,67.3,0,40.49,2724.8,0
2018,7,Chiapas,22,Pichucalco,91,Tapilula,1,Abeja,7,Miel,20.7,0,39.55,818.6,0
2018,7,Chiapas,19,San Cristóbal de las Casas,4,Altamirano,1,Abeja,7,Miel,90.145,0,41.92,3779.116,0
2018,7,Chiapas,19,San Cristóbal de las Casas,22,Chalchihuitán,1,Abeja,7,Miel,89.549,0,42.4,3796.993,0
2018,7,Chiapas,19,San Cristóbal de las Casas,26,Chenalhó,1,Abeja,7,Miel,54.525,0,42.09,2295.084,0
2018,7,Chiapas,19,San Cristóbal de las Casas,49,Larráinzar,1,Abeja,7,Miel,20.786,0,40.57,843.303,0
2018,7,Chiapas,19,San Cristóbal de las Casas,75,Las Rosas,1,Abeja,7,Miel,59.619,0,40.96,2441.758,0
2018,7,Chiapas,19,San Cristóbal de las Casas,64,Oxchuc,1,Abeja,7,Miel,19.592,0,41.86,820.12,0
2018,7,Chiapas,19,San Cristóbal de las Casas,66,Pantelhó,1,Abeja,7,Miel,164.85,0,42.41,6990.959,0
2018,7,Chiapas,19,San Cristóbal de las Casas,112,San Juan Cancuc,1,Abeja,7,Miel,97.748,0,41.9,4095.387,0
2018,7,Chiapas,19,San Cristóbal de las Casas,119,Santiago El Pinar,1,Abeja,7,Miel,4.297,0,41.78,179.517,0
2018,7,Chiapas,19,San Cristóbal de las Casas,93,Tenejapa,1,Abeja,7,Miel,130.569,0,42.6,5562.193,0
2018,7,Chiapas,19,San Cristóbal de las Casas,94,Teopisca,1,Abeja,7,Miel,9.519,0,42.51,404.612,0
2018,7,Chiapas,27,Selva Lacandona,59,Ocosingo,1,Abeja,2,Cera,8.14,0,98.29,800.081,0
2018,7,Chiapas,27,Selva Lacandona,59,Ocosingo,1,Abeja,7,Miel,100.1,0,65.47,6553.8,0
2018,7,Chiapas,25,Tapachula,1,Acacoyagua,1,Abeja,7,Miel,6.565,0,39.69,260.535,0
2018,7,Chiapas,25,Tapachula,3,Acapetahua,1,Abeja,7,Miel,9.405,0,39.63,372.732,0
2018,7,Chiapas,25,Tapachula,15,Cacahoatán,1,Abeja,7,Miel,12.894,0,41.21,531.373,0
2018,7,Chiapas,25,Tapachula,32,Escuintla,1,Abeja,7,Miel,17.895,0,40.58,726.231,0
2018,7,Chiapas,25,Tapachula,35,Frontera Hidalgo,1,Abeja,7,Miel,13.549,0,40.94,554.665,0
2018,7,Chiapas,25,Tapachula,37,Huehuetán,1,Abeja,7,Miel,22.085,0,40.91,903.529,0
