anio,mes,pais_de_origen_destino,dolares
2014,Octubre,Suiza,355054
2016,Agosto,Suiza,353107
2013,Febrero,Reino Unido,352846
2016,Noviembre,Reino Unido,352807
2007,Octubre,Estados Unidos,352633
2007,Julio,Estados Unidos,350487
2015,Abril,España,349102
2014,Mayo,Suiza,347901
2011,Marzo,Bélgica,346892
2010,Diciembre,Suiza,346860
2018,Noviembre,Arabia Saudita,344520
2017,Octubre,Arabia Saudita,343667
2005,Abril,Estados Unidos,343304
2010,Enero,Reino Unido,343128
2016,Junio,Japón,342181
2017,Enero,Suiza,341402
2018,Noviembre,Estados Unidos,340467
2010,Marzo,Reino Unido,340207
2006,Diciembre,Bélgica,340018
2008,Noviembre,Bélgica,339913
2018,Mayo,Suiza,339489
2015,Septiembre,Japón,338920
2004,Diciembre,Bélgica,338090
2014,Julio,Suiza,334135
2014,Octubre,Reino Unido,334009
2012,Septiembre,Arabia Saudita,332907
2007,Septiembre,Arabia Saudita,329847
2014,Junio,Japón,328041
2015,Julio,Japón,326998
2005,Noviembre,Bélgica,326850
2018,Agosto,Dinamarca,326430
2010,Febrero,Bélgica,324996
2002,Abril,Arabia Saudita,324735
2004,Septiembre,Reino Unido,324674
2003,Marzo,Reino Unido,324109
2004,Septiembre,Alemania,323623
2018,Marzo,Estados Unidos,322311
2009,Diciembre,Suiza,322226
2005,Mayo,Arabia Saudita,321611
2007,Mayo,Arabia Saudita,321228
2003,Noviembre,Suiza,321149
2017,Octubre,Japón,320209
2014,Noviembre,Reino Unido,320001
2006,Abril,Reino Unido,318760
2016,Marzo,Estados Unidos,318114
2007,Junio,Arabia Saudita,316858
2003,Junio,Suiza,316200
2018,Mayo,Emiratos Árabes Unidos,314703
2015,Julio,Australia,314495
2004,Julio,Arabia Saudita,313796
2008,Septiembre,Bélgica,312105
2007,Marzo,Suiza,310450
2010,Octubre,Suiza,309190
2009,Octubre,Estados Unidos,308102
